r_bin_center,C_r_mean,C_r_std
0.068195224,0.95127213,0.08136745
0.20458567,0.90307915,0.06027758
0.34097612,0.8185334,0.05851661
0.47736657,0.7224844,0.057623886
0.613757,0.62833905,0.05872172
0.7501475,0.53822744,0.058012094
0.88653797,0.45559093,0.056459233
1.0229284,0.3858122,0.053950194
1.1593189,0.3258513,0.05165433
1.2957094,0.27469456,0.04946129
1.4320998,0.2309828,0.046177164
1.5684903,0.19452737,0.04343827
1.7048807,0.16281433,0.04036026
1.8412712,0.13598616,0.03784631
1.9776616,0.113203384,0.0347389
2.1140518,0.094592474,0.032595128
2.2504425,0.07874173,0.030320112
2.386833,0.06505429,0.028537458
2.5232234,0.053648382,0.026454844
2.659614,0.04389611,0.024598673
2.7960043,0.035569903,0.0219091
2.932395,0.028228037,0.02044959
3.0687852,0.022033136,0.018633716
3.2051759,0.01586584,0.017191604
3.341566,0.010802239,0.016094945
3.4779568,0.0063245855,0.015646752
3.614347,0.0019261729,0.014780015
3.7507377,-0.0013225921,0.013985175
3.8871279,-0.004266253,0.013604396
4.0235186,-0.0069154697,0.012895028
4.159909,-0.009262163,0.0121885035
4.296299,-0.011341038,0.011815075
4.4326897,-0.013445344,0.011446772
4.5690804,-0.015142986,0.011026059
4.7054706,-0.016567186,0.010833443
4.8418612,-0.017911268,0.011047862
4.9782515,-0.019019062,0.011373817
5.114642,-0.0206421,0.011133644
5.251033,-0.022422733,0.010768899
5.387423,-0.024293806,0.010664677
5.5238132,-0.02622373,0.010932233
5.660204,-0.027855868,0.011944912
5.7965946,-0.029509002,0.013604844
5.932985,-0.031062586,0.01538003
6.069375,-0.032471765,0.017265368
6.2057657,-0.033797357,0.019609718
6.3421564,-0.035811488,0.02187425
6.4785466,-0.03762047,0.024010016
