N,noise,n_seeds,phi_mean,phi_se,tau_rw,tau_rw_se,tau_rw_ci_lo,tau_rw_ci_hi,tau_rw_window_limited_frac,tau_rel,tau_rel_se,tau_rel_ci_lo,tau_rel_ci_hi,tau_rel_window_limited_frac,tau_cage,tau_cage_se,tau_cage_ci_lo,tau_cage_ci_hi,tau_cage_window_limited_frac,ell_nn2
1024,0.005,5,0.9301702722907066,0.0024689642262348023,1125.6542261597638,20.330115739632998,1092.6646514440513,1162.4625885342757,0.0,173.8244586899457,10.31822529456154,156.1185694614432,191.53034791844811,0.0,24.145961738728715,0.7944790671179733,22.953060576911785,25.68752730524427,0.0,0.15826473453392584
1024,0.02,5,0.8467135181029637,0.005074364336148737,543.9339792149119,9.015981676869016,528.0318748687814,558.252955390695,0.0,56.3920611863452,1.8353638223912403,52.80691736459998,59.70941216325711,0.0,21.764132249915345,0.5541190039422965,20.78955099700023,22.757979322417142,0.0,0.21004791756471
1024,0.05,5,0.6607333627839883,0.0055629006027495195,309.9361579741909,1.6495582120965762,307.3000129257986,312.89200910389684,0.0,23.816697742944335,0.3548908113361789,23.29372972097805,24.489401946366435,0.0,19.1868614254114,0.24043047066184048,18.786132152247518,19.638056345136633,0.0,0.24645480426649252
1024,0.0738,5,0.39137703900535903,0.007520165085708346,223.68618512555813,1.0991047731792665,221.81920321079195,225.63059761312275,0.0,14.841804458751634,0.19950415109075814,14.500685544825568,15.182923372677697,0.0,18.08536241795418,0.13226478009403284,17.867275712541367,18.325593840833793,0.0,0.26559482465187706
1024,0.1,5,0.1364132144798835,0.006462669103186096,254.67813750007977,0.8979444928671019,253.07535534631043,256.27264728409097,0.0,4.555190559547433,0.1241074194881398,4.317244050762364,4.754704796042528,0.0,25.235779866631763,0.23311315058387144,24.839465559428852,25.65906607436701,0.0,0.30358638415733974
1024,0.15,5,0.05830263496997455,0.0021935033763424458,390.40452673350825,0.7363497974324591,389.1357455696906,391.67330789732597,0.0,1.1292048762336062,0.01831297050923391,1.0927260020071707,1.1545710300054184,0.0,62.01218549572609,0.2454653134078557,61.58006518238038,62.500836271227705,0.0,0.33297826796770097
2048,0.005,5,0.9136821483572325,0.0015936794226039512,1042.7524920626317,11.544596010400804,1023.0228203772049,1060.9106004790767,0.0,196.02810344926053,7.497321848966732,180.37676831123608,209.0099209803695,0.0,20.36498470873064,0.24544514115480887,19.919862472670108,20.835682267483584,0.0,0.14512018263339993
2048,0.02,5,0.8113928551475207,0.007333792266266377,502.2860412833255,6.940780523152825,488.67241220180756,514.1940456849421,0.0,75.00800103285425,2.6372494806661613,70.45846039587846,79.55754166983002,0.0,18.25154424361926,0.5312720092300552,17.428002810954744,19.255003254422267,0.0,0.1966360981265704
2048,0.05,5,0.6089997261762619,0.005191239441253365,287.4982618803298,1.6219049084341843,285.262509216807,290.71883268302344,0.0,32.62618249107168,0.9148886139333579,30.91839053031426,33.953265263430495,0.0,16.855493363612496,0.18701027609283385,16.48542120278769,17.1306954488603,0.0,0.2365690916776657
2048,0.0738,5,0.30293395053595307,0.006748847499069341,215.05204947734325,0.7634031372675404,213.71646748309044,216.64466953035566,0.0,20.036582336901553,0.41344750485221937,19.338638879735278,20.869603469837806,0.0,16.02900960802883,0.07941019923563962,15.882829758635618,16.159946191000927,0.0,0.2560037922114134
2048,0.1,5,0.10005665216594935,0.0023987884869164466,259.2284765855449,0.19164136622778907,258.82413964644354,259.4932187334333,0.0,4.725550960710106,0.0927276290718573,4.558367713244605,4.902112705707796,0.0,24.489640294692347,0.05312930945503846,24.402134135197546,24.58085662902879,0.0,0.3015624850988388
2048,0.15,5,0.042727069222989175,0.002417118596269888,407.25262459735734,1.162123565007204,405.2916571030184,409.28382235980257,0.0,1.1300641104946691,0.018066513284052333,1.0982653699368201,1.1634048907138963,0.0,61.82972129385195,0.353949959872544,61.08356572855422,62.46924211329154,0.0,0.33119142750898994
