N,rho,v0,k,D_opt_mean,D_opt_ci_lo,D_opt_ci_hi,D_c_mean,D_c_ci_lo,D_c_ci_hi,J_min_mean,J_min_ci_lo,J_min_ci_hi,J_min_boot_sd,Delta_mean,Delta_ci_lo,Delta_ci_hi,Delta_boot_sd,valley_depth_mean,valley_depth_ci_lo,valley_depth_ci_hi,opt_on_boundary,opt_on_boundary_boot_mean,critical_on_boundary,critical_on_boundary_boot_mean,in_window
1024,1.0,0.05,2,0.005,0.00330346724003798,0.006597539553864474,0.005,0.00330346724003798,0.006597539553864474,0.569862163066864,0.4684691548347473,0.6109062075614929,0.03763445303965475,0.0,0.0,0.002437300867446434,0.0007428560616217089,0.10703951967704133,0.016735945117313373,0.39409250364539966,False,0.083,False,0.239,False
1024,1.0,0.05,3,0.005,0.005,0.011486983549970353,0.005,0.005,0.011486983549970353,0.1675914317369461,0.11276390828192234,0.19103406071662904,0.021384402416431622,0.0,0.0,0.006486983549970353,0.001586922102076084,0.2660996562012548,0.0415369549120614,1.0037649135112507,False,0.0,False,0.0,True
1024,1.0,0.05,4,0.017419271799121613,0.01321386896015192,0.02,0.017419271799121613,0.01321386896015192,0.02,0.16518256813287735,0.12189817130565643,0.18138518035411835,0.013623877030306725,0.0,0.0,0.0067861310398480805,0.0013847327104722768,0.03023559895931645,0.0022881148338194397,0.3942443953295421,False,0.0,False,0.0,True
1024,1.0,0.05,5,0.035,0.02,0.04613898584947424,0.035,0.026550215126021435,0.04613898584947424,0.18348074406385423,0.1381511405110359,0.19382753372192382,0.014375734289976662,0.0,0.0,0.01565526020101142,0.0045749171947494964,0.09969464194570692,0.011887477301682098,0.9964130039769311,False,0.0,False,0.0,False
1024,1.0,0.05,6,0.055983025037153765,0.04875917646296059,0.06074537019394978,0.055983025037153765,0.04875917646296059,0.06074537019394978,0.21727471947669982,0.17360740900039673,0.22544992864131927,0.013692352337297091,0.0,0.0,0.007223848574193177,0.002270002483480635,0.023711637527357804,0.0032767958113643883,0.31963293944088195,False,0.0,False,0.0,False
1024,1.0,0.05,7,0.0738,0.06427711293875876,0.0738,0.0738,0.06427711293875876,0.0738,0.2752834141254425,0.24726604223251342,0.2909292697906494,0.011111011019502537,0.0,0.0,0.009522887061241242,0.0028835278070752377,0.11993493197007087,0.00660231763045011,0.41332772200024637,False,0.0,False,0.0,False
1024,1.0,0.05,8,0.08473373726646993,0.08473373726646993,0.08473373726646993,0.08473373726646993,0.08473373726646993,0.08473373726646993,0.3723330318927765,0.33362923860549926,0.42016429051756854,0.022041762682276245,0.0,0.0,0.0,0.0,0.415848885742558,0.22794906203876694,0.6395084222037373,False,0.0,False,0.0,False
1024,1.0,0.05,9,0.1,0.08709635899560805,0.1,0.1,0.08709635899560805,0.1,0.5098758220672608,0.47728530764579774,0.5458801031112671,0.017942025072064577,0.0,0.0,0.012903641004391952,0.0030176507571666837,0.16757612384924478,0.011567744603641327,0.45836919820805316,False,0.0,False,0.0,False
1024,1.0,0.05,10,0.1,0.1,0.1,0.1,0.1,0.1,0.493356728553772,0.48361274003982546,0.5031007170677185,0.005049631131427119,0.0,0.0,0.0,0.0,1.2323550306987219,1.1795505011934377,1.3114381775392756,False,0.0,False,0.0,False
1024,1.0,0.05,11,0.1,0.1,0.1,0.1,0.1,0.1,0.7144213318824768,0.6225762844085694,0.8199735879898071,0.05019964196340231,0.0,0.0,0.0,0.0010455048946447587,0.2565207862071762,0.061021871683930466,0.46953734032926264,False,0.0,False,0.0,False
1024,1.0,0.05,12,0.1148153621496883,0.1148153621496883,0.1148153621496883,0.1148153621496883,0.1148153621496883,0.1148153621496883,0.7950721502304077,0.7565456444025039,0.8338761261105537,0.020976884393061473,0.0,0.0,0.0,0.0,0.5105548222558872,0.35147312198884656,0.7802713987084252,False,0.0,False,0.0,False
1024,1.0,0.05,13,0.1148153621496883,0.1148153621496883,0.1148153621496883,0.1148153621496883,0.1148153621496883,0.1148153621496883,0.7080796718597412,0.6741177320480347,0.7315870192646979,0.015364539284245483,0.0,0.0,0.0,0.0,1.3780801611797617,1.2971744829888487,1.45173312749538,False,0.0,False,0.0,False
1024,1.0,0.05,14,0.1148153621496883,0.1148153621496883,0.1148153621496883,0.1148153621496883,0.1148153621496883,0.1148153621496883,0.6763981938362121,0.6425743699073792,0.7102820181846617,0.018167526753273988,0.0,0.0,0.0,0.0,1.6136007552855691,1.4403081717915094,1.7888429277241602,False,0.0,False,0.0,False
