N,k,noise,n_seeds,phi_mean,phi_se,chi_mean,chi_se,work_mean,work_se,sdot_proxy_mean,sdot_proxy_se,align_cost_mean,turn_cost_mean,J_mean,J_se,mean_nn_distance
256,7,0.005,2,0.9753071665763855,0.0019030570983886717,0.018310546875,0.0030975341796874996,2.0372318029403687,0.0014649629592895506,2.0372318029403687,0.0014649629592895506,0.01271667517721653,0.022814607247710228,114.52385711669922,19.293617248535153,0.437117263674736
256,7,0.02,2,0.9149549603462219,0.003928899765014648,0.2331695556640625,0.0791015625,2.161705255508423,0.002633333206176758,2.161705255508423,0.002633333206176758,0.05490872450172901,0.09650802612304688,10.472359895706177,3.5413997173309326,0.4763084352016449
256,7,0.05,2,0.762505978345871,0.009349018335342407,0.8676528930664062,0.3572311401367187,2.545703172683716,0.005803823471069336,2.545703172683716,0.005803823471069336,0.1691974177956581,0.2817520499229431,3.529569983482361,1.4465099573135374,0.4837030619382858
256,7,0.0738,2,0.5704844295978546,0.0035947263240814205,1.8987655639648438,0.004524230957031249,2.980773091316223,0.003929734230041504,2.980773091316223,0.003929734230041504,0.3189953416585922,0.4879784435033798,1.5698618292808533,0.005810081958770751,0.492844820022583
256,7,0.07585775750291839,2,0.5389149487018585,0.0034116804599761963,2.7409934997558594,0.007434844970703125,3.0352511405944824,0.0055480003356933585,3.0352511405944824,0.0055480003356933585,0.33864179253578186,0.511195182800293,1.1073680520057678,0.005027830600738525,0.4942585825920105
256,7,0.08128305161640995,2,0.4960184693336487,0.01817232370376587,2.5228424072265625,0.5020065307617188,3.119298815727234,0.018810868263244625,3.119298815727234,0.018810868263244625,0.38405729830265045,0.563696414232254,1.285851776599884,0.24840837717056272,0.5019027888774872
256,7,0.08317637711026712,2,0.4587518125772476,0.011876448988914488,2.6632518768310547,0.05066490173339844,3.163443088531494,0.010298490524291992,3.163443088531494,0.010298490524291992,0.40425339341163635,0.5853246748447418,1.1881686449050903,0.01873648166656494,0.49847330152988434
256,7,0.0870963589956081,2,0.43298250436782837,0.00024446845054626465,2.7021312713623047,0.1874599456787109,3.211734652519226,0.0037852525711059566,3.211734652519226,0.0037852525711059566,0.4403335154056549,0.6231803894042969,1.1944390535354614,0.08426487445831297,0.5047963857650757
256,7,0.09120108393559097,2,0.3787665367126465,0.0031886100769042964,2.763620376586914,0.22758293151855466,3.2749611139297485,0.0045577287673950195,3.2749611139297485,0.0045577287673950195,0.48440806567668915,0.6662092506885529,1.1929799318313599,0.09659218788146971,0.5078438818454742
256,7,0.0933254300796991,2,0.3447687178850174,0.0023844391107559204,2.8528261184692383,0.04596233367919922,3.2996197938919067,0.0022486448287963867,3.2996197938919067,0.0022486448287963867,0.5071873366832733,0.687414675951004,1.1569273471832275,0.01942765712738037,0.5082361698150635
256,7,0.1,2,0.2856694608926773,0.0013165324926376343,2.556802749633789,0.0894947052001953,3.3316009044647217,0.005824565887451171,3.3316009044647217,0.005824565887451171,0.5711309909820557,0.7442198395729065,1.3047122359275818,0.04794639348983764,0.5170395970344543
256,7,0.10715193052376065,2,0.23297157138586044,0.0004523321986198425,1.8913359642028809,0.05449819564819335,3.305696129798889,0.0020982027053833008,3.305696129798889,0.0020982027053833008,0.6270036995410919,0.7900311648845673,1.7492945194244385,0.05151474475860596,0.5190493762493134
256,7,0.1096478196143185,2,0.21781717240810394,0.00048103928565979004,1.6688156127929688,0.002750396728515625,3.284867763519287,0.004118204116821289,3.284867763519287,0.004118204116821289,0.6431943476200104,0.8025660216808319,1.9683920741081238,0.005711972713470458,0.5215375423431396
256,7,0.1148153621496883,2,0.1945612132549286,0.002600744366645813,1.424600601196289,0.046031951904296875,3.24271821975708,0.004210472106933594,3.24271821975708,0.004210472106933594,0.6767589151859283,0.8283947110176086,2.278704524040222,0.07658541202545166,0.5268582105636597
256,7,0.12022644346174131,2,0.1721412017941475,0.0013478025794029236,1.2565782070159912,0.007928609848022461,3.1852508783340454,0.0008238554000854492,3.1852508783340454,0.0008238554000854492,0.7066845893859863,0.8499070703983307,2.534957766532898,0.015339016914367676,0.5278434455394745
256,7,0.12302687708123818,2,0.1660243719816208,0.002139538526535034,1.1359443664550781,0.07576417922973633,3.1431859731674194,0.0007218122482299804,3.1431859731674194,0.0007218122482299804,0.71688312292099,0.8571304380893707,2.7794313430786133,0.18601536750793457,0.5308539867401123
256,7,0.1318256738556407,2,0.14536068588495255,0.0018548741936683653,0.8569567203521729,0.014328718185424805,3.0302000045776367,0.00044417381286621094,3.0302000045776367,0.00044417381286621094,0.7528404593467712,0.8819966018199921,3.536998748779297,0.05965852737426757,0.5328044891357422
256,7,0.15,2,0.11908000707626343,0.0001773834228515625,0.6316746473312378,0.007656455039978027,2.7844096422195435,0.0013490915298461912,2.7844096422195435,0.0013490915298461912,0.8011701703071594,0.9129575192928314,4.40865421295166,0.055572509765625,0.5401001572608948
