k,c_mis_mean,c_mis_median,c_mis_std,J_emp_proxy
3,0.002590068239567739,0.0013558201713426143,0.004097445007071088,1.3666638161809214e-06
4,0.0024081781294610165,0.0012655386540372238,0.003846521755272264,1.2706884946791575e-06
5,0.002305897216123679,0.0012320059171482267,0.0037583509182135054,1.2167194056765433e-06
6,0.0022360964100255104,0.0012047485405969338,0.003729468441499974,1.1798886247043214e-06
7,0.002191472846595172,0.0011585313938309305,0.0036506705629297392,1.1563427549246605e-06
9,0.0021464905451927915,0.001108957622454887,0.0035525408753147238,1.132607595072101e-06
12,0.0021425987393568135,0.0011801518063248029,0.0034669445735482805,1.1305540622213524e-06
15,0.0021620236852677318,0.0011449050365326396,0.0034658726463922523,1.1408037422499196e-06
20,0.00216733811833152,0.0012054092146375206,0.0033900929987089536,1.1436079322171332e-06
