r_center,C_r,pair_count
0.2946307144902021,1.1359880453104074,226
0.8838921434706064,1.060861243782378,2092
1.4731535724510105,1.0047149282683165,4796
2.0624150014314147,0.8851773986535103,7631
2.651676430411819,0.814612946887789,10206
3.2409378593922233,0.760811174153765,12706
3.8301992883726275,0.7222006430495046,14423
4.419460717353031,0.6643004914154694,16077
5.008722146333437,0.621472034034954,17261
5.59798357531384,0.5760026427277494,18505
6.187245004294244,0.530301628643994,19257
6.776506433274649,0.4753999303476897,20211
7.365767862255053,0.41979551020476713,20754
7.955029291235457,0.36906408090031356,21109
8.544290720215862,0.30949130832973654,21230
9.133552149196266,0.24179104324335154,21554
9.72281357817667,0.19121252321641158,21530
10.312075007157073,0.1352090667569531,21056
10.901336436137479,0.08054716358104037,20892
11.490597865117882,0.040433227447422594,20539
12.079859294098288,-0.0034644901679217956,20224
12.669120723078692,-0.05480189074104825,19426
13.258382152059095,-0.10282395699556196,18726
13.847643581039499,-0.1322257521899463,18263
14.436905010019904,-0.17557729234513705,17183
15.026166439000308,-0.2185661438276436,16587
15.615427867980712,-0.23980102274153606,16012
16.204689296961114,-0.2736829348313314,15369
16.79395072594152,-0.30164403771976195,14716
17.383212154921928,-0.3175007155198284,14360
17.972473583902328,-0.3500736458649231,13760
18.561735012882735,-0.3828053967943681,12992
19.150996441863136,-0.40349896075182173,12604
19.740257870843543,-0.42495396112120154,12024
20.329519299823943,-0.4441708747399024,11280
20.91878072880435,-0.47736858827286976,10812
21.508042157784757,-0.49687610809579036,10186
22.097303586765157,-0.4976214500990024,9654
22.686565015745565,-0.5080562811312268,9234
23.275826444725965,-0.5044086510754552,8458
23.865087873706372,-0.5214014478930257,8288
24.454349302686776,-0.5284572492716029,7615
25.04361073166718,-0.5459302841246102,7256
25.632872160647587,-0.5604653568107364,6900
26.222133589627987,-0.5793756165510038,6257
26.811395018608394,-0.5846153385785247,5785
27.400656447588794,-0.5785682939456203,5375
27.9899178765692,-0.5968922002789284,4941
